code,x,y,r,eastings,northings,mean_flow(m3/s),suspended_solids(mg/l),description
TC1,15,11,1,461200,205000,3.9,9.0,thame_at_wheatley
TC2,13,10,2,452700,213900,,8.0,ray_at_islip
TC3,12,9,1,449900,215200,3.8,11.6,cherwell_at_hampton_poyle
TC4,12,10,1,444700,210100,3.7,8.9,evenlode_at_cassington_mill
TC5,11,11,1,444200,208500,13.6,9.7,thames_at_swinford
TC6,11,12,2,440300,201300,,5.5,thames_at_newbridge
TC7,11,12,2,440300,201400,3.3,13.8,windrush_at_newbridge
TC8,7,13,2,422800,199600,0.8,3.7,leach_at_leachlade
TC9,7,13,3,421000,198000,1.2,10.1,cole_at_lyte_bridge
TC10,6,12,1,417100,199100,2.1,7.3,coln_at_welford
TC11,12,13,1,449500,196700,1.5,6.6,ock_at_abingdon
TC12,15,17,3,463600,174700,0.6,5.7,pang_at_tidmarsh
TC13,18,17,4,475300,175800,42.5,14.3,thames_at_sonning
TC14,18,17,3,477900,176600,2.2,5.0,lodden_at_charvil
TC15,20,17,1,486900,176200,0.4,4.0,the_cut_at_paley_street
TC16,23,18,3,500600,172300,54.1,20.2,thames_at_runnymead
TC17,20,15,1,489500,186600,1.0,7.2,wye_at_bourne_end
TC18,15,14,1,460900,190200,28.1,10.7,thames_at_wallingford
